q,v,qs,i_q,i_st,i_off,profit
"[0.0, 0.0, 0.0, 0.0]",3876.63,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3876.64,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-46500.0
"[0.0, 0.0, 0.0, 0.0]",3876.74,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-48000.0
"[0.0, 0.0, 0.0, 0.0]",3877.73,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3877.82,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3877.82,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-42000.0
"[0.0, 0.0, 0.0, 0.0]",3877.84,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-39000.0
"[0.0, 0.0, 0.0, 0.0]",3879.01,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-36000.0
"[0.0, 0.0, 0.0, 0.0]",3879.12,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-33000.0
"[0.0, 0.0, 0.0, 0.0]",3880.33,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-30000.0
"[0.0, 0.0, 0.0, 0.0]",3880.47,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-27000.0
"[0.0, 0.0, 0.0, 0.0]",3880.63,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-24000.0
"[0.0, 0.0, 0.0, 0.0]",3880.83,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-45000.0
"[0.0, 0.0, 0.0, 0.0]",3880.85,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-54000.0
"[0.0, 0.0, 297.6, 297.6]",3880.88,0.0,"[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",82359.95
"[0.0, 0.0, 0.0, 0.0]",3880.9,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.0]",-67502.0
"[0.0, 0.0, 0.0, 0.0]",3881.13,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[0.0, 0.0, 0.0, 0.0]",3881.34,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-67500.0
"[297.6, 297.6, 297.6, 297.6]",3877.27,0.0,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]",239719.9
"[297.6, 297.6, 297.6, 297.6]",3873.18,0.0,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",249729.02
"[0.0, 0.0, 0.0, 0.0]",3875.07,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0]",-69004.0
"[0.0, 0.0, 0.0, 0.0]",3875.26,0.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",-66000.0
